instance; execution; seed; number_of_tasks; cycle_time; iterations; restarts; solution; duration;
MITCHELL; 1; 1529275172; 21; 26; 800; 3; 5; 6.5007;
MITCHELL; 1; 1529275179; 21; 26; 800; 4; 5; 9.86044;
MITCHELL; 1; 1529275189; 21; 26; 800; 5; 5; 11.0168;
MITCHELL; 1; 1529275200; 21; 26; 900; 1; 5; 2.59403;
MITCHELL; 1; 1529275202; 21; 26; 900; 2; 5; 5.04744;
MITCHELL; 1; 1529275207; 21; 26; 900; 3; 5; 8.12585;
MITCHELL; 1; 1529275215; 21; 26; 900; 4; 5; 10.8449;
MITCHELL; 1; 1529275226; 21; 26; 900; 5; 5; 13.2201;
MITCHELL; 1; 1529275239; 21; 26; 1000; 1; 5; 2.95347;
MITCHELL; 1; 1529275242; 21; 26; 1000; 2; 5; 5.48497;
MITCHELL; 1; 1529275248; 21; 26; 1000; 3; 5; 9.32913;
MITCHELL; 1; 1529275257; 21; 26; 1000; 4; 5; 12.6576;
MITCHELL; 1; 1529275270; 21; 26; 1000; 5; 5; 14.1265;
WEE-MAG; 1; 1529275284; 75; 56; 100; 1; 32; 0.671947;
WEE-MAG; 1; 1529275285; 75; 56; 100; 2; 32; 1.37518;
WEE-MAG; 1; 1529275286; 75; 56; 100; 3; 32; 1.93769;
WEE-MAG; 1; 1529275288; 75; 56; 100; 4; 31; 2.71907;
WEE-MAG; 1; 1529275291; 75; 56; 100; 5; 32; 3.29723;
WEE-MAG; 1; 1529275294; 75; 56; 200; 1; 32; 1.50019;
WEE-MAG; 1; 1529275296; 75; 56; 200; 2; 31; 2.60968;
WEE-MAG; 1; 1529275298; 75; 56; 200; 3; 32; 3.89107;
WEE-MAG; 1; 1529275302; 75; 56; 200; 4; 31; 5.5787;
WEE-MAG; 1; 1529275308; 75; 56; 200; 5; 31; 7.2039;
WEE-MAG; 1; 1529275315; 75; 56; 300; 1; 32; 1.9221;
WEE-MAG; 1; 1529275317; 75; 56; 300; 2; 31; 4.00043;
WEE-MAG; 1; 1529275321; 75; 56; 300; 3; 31; 6.0163;
WEE-MAG; 1; 1529275327; 75; 56; 300; 4; 31; 8.20398;
WEE-MAG; 1; 1529275335; 75; 56; 300; 5; 31; 10.423;
WEE-MAG; 1; 1529275346; 75; 56; 400; 1; 32; 2.81283;
WEE-MAG; 1; 1529275348; 75; 56; 400; 2; 31; 5.65689;
WEE-MAG; 1; 1529275354; 75; 56; 400; 3; 31; 8.5478;
WEE-MAG; 1; 1529275363; 75; 56; 400; 4; 32; 11.4231;
WEE-MAG; 1; 1529275374; 75; 56; 400; 5; 31; 14.1734;
WEE-MAG; 1; 1529275388; 75; 56; 500; 1; 32; 3.65667;
WEE-MAG; 1; 1529275392; 75; 56; 500; 2; 31; 6.59446;
WEE-MAG; 1; 1529275398; 75; 56; 500; 3; 31; 10.4543;
WEE-MAG; 1; 1529275409; 75; 56; 500; 4; 31; 13.4077;
WEE-MAG; 1; 1529275422; 75; 56; 500; 5; 31; 17.0175;
WEE-MAG; 1; 1529275439; 75; 56; 600; 1; 32; 4.25046;
